true,mu,sigma
0.10936263443188152,0.16533645486409893,0.12485788585069134
0.11014059816000198,0.1659328049307861,0.12472911711045136
0.11092377133501873,0.16644005496143777,0.12460127421453296
0.11171218420971732,0.16702963239098853,0.12447403478438777
0.11250586714633475,0.1677150778686736,0.12434794067786188
0.11330485061594767,0.16849670076656967,0.12422297624581517
0.1141091651978409,0.16911981845401258,0.12410097834669273
0.11491884157885628,0.16984834993418435,0.12398040057201538
0.11573391055272202,0.170454866310361,0.12386176605474856
0.11655440301936167,0.1712181879241199,0.123745973488054
0.11738034998418236,0.17209353801585525,0.12363174971945422
0.11821178255734342,0.1730938860728854,0.12351947905502808
0.11904873195300304,0.1739951765538441,0.1234082638641295
0.11989122948854444,0.1749706931885599,0.12329701511067946
0.12073930658378079,0.17579369306760778,0.12318837315650703
0.121592994760138,0.1767576464167535,0.12308202483175273
0.12245232563981599,0.177911892919982,0.12297900717471727
0.12331733094492812,0.17922703878714663,0.12287871150229271
0.12418804249661748,0.18040285495043787,0.12278059299409452
0.1250644922141515,0.18171775852018815,0.12268462173946643
0.12594671211399303,0.1829523666134973,0.12258874188393176
0.1268347343088483,0.18430747908486594,0.1224944341633226
0.12772859100669232,0.18579816698414683,0.12240211115488875
0.1286283145097695,0.18743342166635918,0.12231198475180513
0.12953393721357107,0.1892458811240408,0.1222247542338999
0.13044549160578847,0.19092487501282487,0.12213938581361403
0.13136301026524194,0.19251671293024225,0.12205428444987407
0.13228652586078446,0.19424635136028257,0.12197112063650745
0.13321607115018136,0.19581168366069576,0.12189050458714876
0.13415167897896388,0.19746637676534998,0.12181018973200554
0.1350933822792582,0.1990040508728766,0.12173115259914577
0.13604121406858818,0.20079766819553005,0.12165603396290699
0.1369952074486522,0.20269600429915208,0.12158174567586334
0.13795539560407424,0.20450320874713626,0.12150775859148243
0.13892181180112814,0.2062328051212418,0.1214334731321816
0.13989448938643498,0.20781460593201093,0.12136122527115992
0.14087346178563415,0.2093309997638272,0.12128804363099897
0.14185876250202656,0.2107007119318201,0.12121683614921713
0.14285042511519047,0.21217061249005162,0.12114619134425376
0.14384848327957006,0.21375384221400012,0.12107654566797242
0.14485297072303546,0.2154604504449151,0.12100819394446746
0.14586392124541459,0.21704999652613277,0.12094092675260437
0.14688136871699703,0.21878812076636733,0.12087559242700367
0.14790534707700834,0.22044004277206447,0.1208101907473796
0.14893589033205615,0.22215150282987733,0.12074341107243132
0.14997303255454641,0.22401022282103664,0.12067848252842137
0.15101680788107033,0.2257781512427081,0.1206136278897613
0.15206725051076175,0.22768053398680319,0.1205502648660577
0.15312439470362435,0.22944177120892356,0.12048855236138846
0.1541882747788282,0.2310452336205028,0.12042886990105815
0.15525892511297676,0.23253596144843747,0.12036999142850348
0.1563363801383423,0.23391271875591524,0.12031194222611784
0.15742067434107046,0.23545065455957098,0.12025595212927946
0.15851184225935402,0.236876871001662,0.12020069015014063
0.1596099184815749,0.23840514272466096,0.12014581231057307
0.16071493764441416,0.2400670372781244,0.12009228546348182
0.1618269344309307,0.24162096581927742,0.12003932141184497
0.1629459435686073,0.24304868058646548,0.11998747523653715
0.16407199982736448,0.24438165570824197,0.1199356903743579
0.1652051380175415,0.24565733427659364,0.1198822005879295
0.16634539298784476,0.2470823905648123,0.11983039198090639
0.16749279962326297,0.2484677300719986,0.11977572205337661
0.16864739284294902,0.24974182475710016,0.11972164497828518
0.16980920759806822,0.2511331160774632,0.11966833658077614
0.1709782788696131,0.2523682927641673,0.119616808575233
0.1721546416661838,0.25371669152158915,0.11956589748847639
0.17333833102173457,0.2551953864435514,0.11951609849514103
0.17452938199328613,0.25684438511967145,0.11946833999251685
0.1757278296586025,0.25866662566471277,0.11942266743301873
0.1769337091138344,0.26062815680532025,0.11937830890062698
0.17814705547112653,0.26275382470269204,0.1193358280671126
0.17936790385618995,0.2650475077528898,0.1192952937114387
0.1805962894058397,0.26721979059735407,0.11925554710350088
0.18183224726549593,0.2692998760556035,0.11921558321358498
0.1830758125866498,0.2715830037327163,0.1191781601611453
0.18432702052429345,0.2737538543089238,0.11914121243417566
0.18558590623431404,0.2758356263466765,0.11910389556473391
0.18685250487085056,0.2780316275569045,0.1190670974113804
0.18812685158361564,0.2800603910473099,0.11903215825847303
0.18940898151517985,0.2821954745987893,0.11899746006630345
0.19069892979821898,0.28419581447319375,0.1189638468444381
0.19199673155272556,0.28628374210415847,0.11892976011285962
0.19330242188318203,0.28828380810069176,0.11889520253341737
0.19461603587569767,0.2901836621278641,0.1188606375493418
0.19593760859510792,0.2922095244690985,0.11882688210352041
0.19726717508203556,0.2941294599812679,0.11879330196246621
0.19860477034991558,0.2959252830988102,0.1187604594319592
0.19995042938198157,0.29786767840187406,0.1187289372009504
0.20130418712821374,0.29969988125339625,0.11869770762263902
0.2026660785022505,0.301680580684222,0.11866782737840365
0.20403613837826085,0.30376858241509846,0.11863812826140797
0.20541440158777852,0.3059962299642625,0.11860954643959593
0.20680090291649914,0.30840709222190427,0.11858300654606871
0.2081956771010378,0.31070332148582486,0.11855686397511825
0.2095987588256488,0.31315524054651306,0.11853219771300731
0.21101018271890715,0.3156930337260757,0.11850687986187154
0.21242998335035113,0.3183513199912131,0.11848211871468922
0.21385819522708677,0.3208444373165096,0.11845901671935762
0.21529485279035335,0.32321533317630713,0.11843650998033953
0.2167399904120503,0.32543467902317985,0.11841535373392968
0.21819364239122585,0.327761277160915,0.11839431193245208
0.2196558429505267,0.3302020409717,0.11837360374554506
0.2211266262326085,0.3325767759584736,0.11835129313809828
0.2226060262965089,0.33482651738456154,0.11832962975975848
0.22409407711398063,0.3371651019751336,0.11830738446168576
0.22559081256578645,0.3393852425410561,0.11828558214997213
0.22709626643795566,0.34144474674080555,0.11826529063721665
0.22861047241800125,0.34340221446521757,0.11824489572332672
0.2301334640910996,0.3455048978761419,0.11822565085183488
0.23166527493623046,0.34771778086856253,0.11820656866291096
0.23320593832227876,0.3498563400311693,0.1181862472930569
0.2347554875040988,0.3520749447669932,0.11816493977548156
0.2363139556185391,0.354437781766174,0.1181447370183012
0.23788137568042922,0.3568912345342234,0.11812397562128492
0.23945778057852907,0.3595012237545948,0.11810459234562909
0.24104320307143914,0.36221963780358307,0.11808528194108958
0.24263767578347373,0.36508782843238075,0.11806718643540533
0.24424123120049596,0.3678853893582163,0.11804764187580481
0.24585390166571502,0.37083319858766384,0.11802931294995007
0.24747571937544605,0.3739198428554341,0.11801191838788457
0.2491067163748329,0.37687260726447,0.11799532524420264
0.2507469245535333,0.3797337945528181,0.11797817280100804
0.25239637564136747,0.38271175571883775,0.11796132593355445
0.2540551012039295,0.3855815633784396,0.11794450554843451
0.25572313263816265,0.3883922847559668,0.11792560920892252
0.257400501167898,0.3913047164730865,0.11790651008082856
0.2590872378393567,0.39406159932359963,0.11788870809124247
0.2607833735166174,0.3969670943358091,0.11787204059204671
0.26248893887704666,0.39976245250091674,0.11785544126045938
0.2642039644066953,0.402712913125045,0.11784011523406489
0.26592848039565853,0.4057855766428725,0.11782522052876601
0.2676625169334027,0.40876126206740715,0.11780992677956624
0.2694061039040562,0.4115912440184728,0.11779567732642732
0.2711592709816673,0.41431006691955646,0.11778150901481421
0.27292204762542766,0.41721506283960114,0.11776920680913792
0.2746944630748625,0.4199799709242788,0.11775780040279278
0.27647654634498814,0.42286444090983955,0.11774672550724033
0.278268326221436,0.42568737346594676,0.11773365952107309
0.2800698312555455,0.4283882971059898,0.11772099083692163
0.28188108975942394,0.43095398603416407,0.11770908093170583
0.28370212980097564,0.433659538777537,0.11769804492866726
0.2855329791988998,0.43651946630652033,0.11768822298814553
0.28737366551765825,0.43921937039207837,0.11767973558773798
0.2892242160624123,0.441825251674214,0.1176707012560105
0.2910846578739305,0.4445112107545188,0.11766055191709394
0.2929550177234679,0.44736115613571314,0.11765181270488786
0.29483532210761515,0.45031563072247976,0.11764289691621371
0.2967255972431212,0.4530876230709027,0.11763574305675403
0.29862586906168753,0.4557839169328195,0.11762727016825843
0.30053616320473564,0.4583486121235174,0.1176194345760191
0.3024565050181484,0.46082146966692217,0.1176109529597767
0.3043869195469852,0.4631510215568818,0.11760340364409208
0.30632743153017233,0.46556995344611235,0.11759510812322983
0.3082780653951688,0.4680684405803399,0.11758565554338954
0.3102388452526076,0.470415305968525,0.11757732419044989
0.3122097948909148,0.4726583061884364,0.11756877393458215
0.31419093777090545,0.47501338495672424,0.11756027427740841
0.3161822970203573,0.47742589877213615,0.11754951264335656
0.3181838954285639,0.4799332704587051,0.11753820167519002
0.3201957554408673,0.48250795710652955,0.11752514681811928
0.3222178991531705,0.48492592447015803,0.11751331026357151
0.32425034830643135,0.4872655763989686,0.11750024122541725
0.3262931242811382,0.48975207598151715,0.11748815924374677
0.3283462480917684,0.4920982302046112,0.11747690315808682
0.3304097403812293,0.4946167727589513,0.1174671743660478
0.33248362141528476,0.4969956203124813,0.11745824949455753
0.33456791107696626,0.4993151062832183,0.11744714443314706
0.3366626288609693,0.5015216978369819,0.11743608352392058
0.33876779386803746,0.5038441739705236,0.1174251569970747
0.3408834247993339,0.5061055610284547,0.11741213582150496
0.34300953995080175,0.508232198609995,0.117399777099778
0.3451461572075132,0.5102109782567145,0.11738840165362635
0.34729329403801007,0.51229403748914,0.11737677171219897
0.3494509674886356,0.5145777208188087,0.11736713405645008
0.351619194177858,0.5167889891516303,0.11735595707126802
0.35379799029058856,0.5190976512463178,0.1173442738987384
0.35598737157249294,0.5215036634894865,0.11733207988121545
