aggasi_mu,aggasi_sigma,aggasi_time,borg_mu,borg_sigma,borg_time,connors_mu,connors_sigma,connors_time,djokovic_mu,djokovic_sigma,djokovic_time,edberg_mu,edberg_sigma,edberg_time,federer_mu,federer_sigma,federer_time,hewitt_mu,hewitt_sigma,hewitt_time,lendl_mu,lendl_sigma,lendl_time,mcenroe_mu,mcenroe_sigma,mcenroe_time,nadal_mu,nadal_sigma,nadal_time,nastase_mu,nastase_sigma,nastase_time,sampras_mu,sampras_sigma,sampras_time,vilas_mu,vilas_sigma,vilas_time
4.720317014862139,0.2896633867416371,36946,,,,4.956342874091043,0.32872988683777027,30415,5.792764128893387,0.29065406690886525,43316,4.124112478985727,0.2972530486075498,34832,6.327417696048065,0.2981300054540292,40481,4.394757625795144,0.31705514699094556,41338,4.6503359444631585,0.3010172299818791,33355,3.9862835393085834,0.3142309574366155,33537,5.454981479932693,0.2929035658784244,42371,3.1861697052835884,0.3137343153885348,28952,4.340349074237586,0.3039090213318051,37065,4.360892497851676,0.28498983528386623,30240
4.718781904826238,0.28698424408398837,36953,,,,4.977407865317067,0.3254046677560205,30428,5.8232975024924905,0.2907852436480963,43322,4.0980429226642,0.2984135022282306,34846,6.325266131140048,0.29973357405216616,40487,4.385724516017304,0.31641248391176596,41351,4.625233687502535,0.30216130123400053,33362,3.986173113827693,0.3165255877485392,33544,5.449741369111904,0.2917666804731283,42385,3.1660003304064435,0.31587664853813036,28959,4.3892551472341825,0.29948468302433195,37093,4.362822880352729,0.2852122830229817,30254
4.726366651586539,0.28444396347999684,36960,,,,4.998866239100257,0.3188228716745276,30457,5.870913597416707,0.29468835401701154,43337,4.075193764843085,0.2990959145706586,34860,6.337185430544593,0.3070518958050086,40544,4.386894425464434,0.31669878630019205,41370,4.553508636368503,0.30221029097062435,33397,4.07953509989847,0.31598039675978445,33614,5.47143784611525,0.28687753308996033,42406,3.113369585861289,0.3219451755952869,28987,4.404020838050784,0.29864935227005707,37107,4.368735042249534,0.28639038681116424,30275
4.714343952431966,0.28472366694060397,36967,,,,5.031132774285749,0.3164838056736341,30471,5.935802603323855,0.303781195553308,43378,4.057936233251112,0.3001078742205409,34874,6.329857563414429,0.3049285856712241,40558,4.454991824868152,0.3027900526181338,41419,4.544762420191189,0.2991857032795295,33411,4.070734259403704,0.31359416095667336,33642,5.482650811737164,0.28530151749421645,42413,3.0962785369440877,0.3237320066004672,28994,4.429412692787028,0.29820291793701875,37121,4.3655618509785015,0.28810265065830365,30283
4.578942927471276,0.2900886125978566,37002,,,,5.032124037818314,0.31772151965303436,30485,5.940834695141205,0.30566696936887094,43400,4.0536913580839595,0.30055712028994375,34895,6.300950928314827,0.3000787735496278,40593,4.4853714985387025,0.29414291020514594,41433,4.5347057083337665,0.2913754665430709,33439,4.067217434586059,0.3130653238081051,33649,5.528633233261217,0.28129920627549715,42437,3.0869833430421267,0.3259461424303339,29001,4.4365717769887425,0.29974499619363404,37128,4.373773819185097,0.28718343014297254,30332
4.551434752460109,0.28851094654686926,37016,,,,5.079258126669252,0.3158732964558168,30534,5.94600274804665,0.30890877822621926,43413,4.043261534787398,0.30186956692808165,34902,6.2873703523187805,0.29583936534424976,40610,4.481304807582873,0.29008735906285654,41447,4.533640836759547,0.2872463673752694,33453,4.069664633501821,0.3128066278294819,33656,5.542695193529995,0.28066383853570026,42450,3.0291521992614405,0.32378792845216003,29071,4.376367062025726,0.3246321884058259,37177,4.373964060424609,0.285226111294999,30338
4.552125195418561,0.2885080000382403,37023,,,,5.084684789870787,0.3152283911203945,30541,5.961536838901941,0.3216590664304899,43477,4.032659563145399,0.305046790460049,34916,6.27878289495414,0.29595550969372975,40623,4.488244937597087,0.2872556184505175,41461,4.537528435947484,0.2853601517649411,33460,4.070154095396066,0.31497710216364033,33674,5.604324130974813,0.2789079575349036,42468,3.0184256775432616,0.32254754345646636,29078,4.280395355742813,0.3315519236315302,37254,4.368158397673391,0.281683138989796,30352
4.567053176168425,0.28848286621913377,37037,,,,5.092639416551959,0.31688826057894737,30556,5.866468713707584,0.3200498326546448,43529,4.03864644764274,0.30732389538098315,34930,6.26763614822171,0.2971304720091188,40641,4.492937172015725,0.28896657991843455,41475,4.547179376434341,0.28409097822917984,33467,4.043907692176224,0.3174666058003038,33719,5.612073777120615,0.28060123716063495,42476,3.003077309340644,0.32333518153413054,29085,4.274763206706316,0.32763035713865646,37268,4.336955222381921,0.2797186010290934,30366
4.588347535806061,0.29032029132268616,37065,,,,5.075188958693554,0.32176884907333675,30569,5.862938049773875,0.31950595041085483,43542,4.04665366616443,0.308286296375695,34937,6.279024127408935,0.29766344433342334,40662,4.484073042024419,0.29242182946934814,41482,4.538867335626164,0.2849475033883112,33474,4.044792316453332,0.31655823886797674,33726,5.602630178209448,0.28529786594167805,42489,2.979645055470429,0.32620646670413495,29093,4.217588082230918,0.31836319421967746,37317,4.260661013131225,0.2764567659326859,30387
4.596066374029844,0.29098957043576607,37093,,,,5.077033425284887,0.3324031019559275,30611,5.886253435552287,0.3181057192975984,43567,4.065444157768749,0.31216581366810214,34965,6.281792886385673,0.2985211552567338,40669,4.478078755518395,0.3020191947027935,41510,4.433053015622856,0.2955714344397059,33509,4.061026181169762,0.31541472069389503,33747,5.596124540810565,0.28849046932946104,42496,2.939212042281331,0.3306353148214557,29106,4.213286622579661,0.3162062455892511,37324,4.233836970771991,0.27586678674881887,30394
